Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,65,3,"M:System.Drawing.Drawing2D.Matrix.Scale(System.Single,System.Single,System.Drawing.Drawing2D.MatrixOrder)",,,,,"pageToWorld.Scale(ScaleFactor, ScaleFactor, MatrixOrder.Append);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,64,3,T:System.Drawing.Drawing2D.Matrix,,,,,"Matrix pageToWorld = new Matrix(1F,0F,0F,-1F,0F,0F);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,64,3,"M:System.Drawing.Drawing2D.Matrix.#ctor(System.Single,System.Single,System.Single,System.Single,System.Single,System.Single)",,,,,"Matrix pageToWorld = new Matrix(1F,0F,0F,-1F,0F,0F);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,23,2,T:System.Windows.Forms.Panel,,,,,"public static void ZoomToFit(Panel panel, ref float ScaleFactor,  		                             ref float TranslateX, ref float TranslateY,  		                             float xMin, float yMin, float xMax, float yMax)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,49,4,P:System.Windows.Forms.Control.Width,,,,,TranslateX = (float)((panel.Width - ScaleFactor*totalWidth)/2 - LeftLimit*ScaleFactor);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,48,4,P:System.Windows.Forms.Control.Height,,,,,TranslateY = (float)(panel.Height/20.0 + ScaleFactor*UpperLimit);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,47,4,P:System.Windows.Forms.Control.Height,,,,,ScaleFactor = (float)(panel.Height/((11.0/10.0)*totalHeight));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,43,4,P:System.Windows.Forms.Control.Height,,,,,TranslateY = (float)((panel.Height - ScaleFactor*totalHeight)/2 + UpperLimit*ScaleFactor);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,42,4,P:System.Windows.Forms.Control.Width,,,,,TranslateX = (float)(panel.Width/20.0 - LeftLimit*ScaleFactor);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,40,4,P:System.Windows.Forms.Control.Width,,,,,ScaleFactor = (float)(panel.Width/((11.0/10.0)*totalWidth));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,36,3,P:System.Windows.Forms.Control.Width,,,,,float fPanelRatio = (float)panel.Height/(float)panel.Width;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\PanelMethods.cs,36,3,P:System.Windows.Forms.Control.Height,,,,,float fPanelRatio = (float)panel.Height/(float)panel.Width;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,animation\animation\Animation.csproj,File,animation\animation\AnimatedPlot.cs,718,2,T:System.Drawing.Graphics,,,,," void Draw(Graphics graphic, int i)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\AnimatedPlot.cs,712,3,T:System.Windows.Forms.ControlStyles,,,,,"SetStyle(ControlStyles.AllPaintingInWmPaint, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\AnimatedPlot.cs,712,3,T:System.Windows.Forms.ControlStyles,,,,,"SetStyle(ControlStyles.AllPaintingInWmPaint, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\AnimatedPlot.cs,712,3,F:System.Windows.Forms.ControlStyles.AllPaintingInWmPaint,,,,,"SetStyle(ControlStyles.AllPaintingInWmPaint, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\AnimatedPlot.cs,712,3,"M:System.Windows.Forms.Control.SetStyle(System.Windows.Forms.ControlStyles,System.Boolean)",,,,,"SetStyle(ControlStyles.AllPaintingInWmPaint, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\AnimatedPlot.cs,711,3,T:System.Windows.Forms.ControlStyles,,,,,"SetStyle(ControlStyles.DoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\AnimatedPlot.cs,711,3,T:System.Windows.Forms.ControlStyles,,,,,"SetStyle(ControlStyles.DoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\AnimatedPlot.cs,711,3,F:System.Windows.Forms.ControlStyles.DoubleBuffer,,,,,"SetStyle(ControlStyles.DoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\AnimatedPlot.cs,711,3,"M:System.Windows.Forms.Control.SetStyle(System.Windows.Forms.ControlStyles,System.Boolean)",,,,,"SetStyle(ControlStyles.DoubleBuffer, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\AnimatedPlot.cs,710,3,T:System.Windows.Forms.ControlStyles,,,,,"SetStyle(ControlStyles.UserPaint, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\AnimatedPlot.cs,710,3,T:System.Windows.Forms.ControlStyles,,,,,"SetStyle(ControlStyles.UserPaint, true);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,animation\animation\Animation.csproj,File,animation\animation\AnimatedPlot.cs,710,3,F:System.Windows.Forms.ControlStyles.UserPaint,,,,,"SetStyle(ControlStyles.UserPaint, true);"
