**
**Created: 12/17/2021 8:37:13 PM
**
**Fiber DEM
**Program written by Scott Stapleton
**at Institut für Textiltechnik der RWTH Aachen University
**
**-----------------------------------------
**
*GeneralOutput
**ImplicitNumericalTangent1stLSAnalysis, Load Steps = 50, Max NewtonRaphson Iterations = 10, Max NewtonRaphson Error = 1E-05, Strain = 0, 0.015, 0, 0, 0, 0
**00:00:26.3759599
**
**Iteration, E11, E22, E33, E12, E13, E23, S11, S22, S33, S12, S13, S23
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0003,0,0,0,0,0,2.144043778483676,0.4044929997254821,0,0,-7.137836153673744E-15
2,0,0.0006,0,0,0,0,0,4.287518375628949,0.8086003745734155,0,0,-2.148748650418762E-14
3,0,0.0009,0,0,0,0,0,6.430424296182618,1.212322692259957,0,0,3.2080317704106775E-14
4,0,0.0012,0,0,0,0,0,8.572762044131082,1.615660519331783,0,0,1.782247459518784E-14
5,0,0.0014999999999999998,0,0,0,0,0,10.714532122703934,2.0186144211680537,0,0,-5.160156183184779E-14
6,0,0.0017999999999999997,0,0,0,0,0,12.854864384830663,2.4211849619804373,0,0,2.5384271509954382E-14
7,0,0.0021,0,0,0,0,0,14.974032516234681,2.823364994392083,0,0,-4.117191638570656E-05
8,0,0.0024,0,0,0,0,0,17.07044734775173,3.2250707470308417,0,0,-0.00047335332559115477
9,0,0.0026999999999999997,0,0,0,0,0,19.140782327849312,3.6249345099590995,0,0,-0.0017650048596819913
10,0,0.0029999999999999996,0,0,0,0,0,21.161961249788536,4.020207612850217,0,0,-0.0022022553329437105
11,0,0.0032999999999999995,0,0,0,0,0,23.160468008492707,4.4114223317757215,0,0,-0.0008629433564006331
12,0,0.0035999999999999995,0,0,0,0,0,25.093569911791885,4.793105112095708,0,0,-0.0009193265657495114
13,0,0.0038999999999999994,0,0,0,0,0,27.139202333616613,5.170175877063733,0,0,-0.0012863808251359576
14,0,0.0042,0,0,0,0,0,29.14208135964684,5.548144391559872,0,0,-0.001579440054178124
15,0,0.0045,0,0,0,0,0,31.433058103883,5.90642803644146,0,0,-0.0023879359192802655
16,0,0.0048,0,0,0,0,0,33.77968884451705,6.3230507042011,0,0,0.013676851928928811
17,0,0.0050999999999999995,0,0,0,0,0,35.69534138929628,6.753393060648878,0,0,-0.003068179655945302
18,0,0.005399999999999999,0,0,0,0,0,36.883475442472914,7.1120166735830965,0,0,0.008573749495442734
19,0,0.005699999999999999,0,0,0,0,0,38.084679244609795,7.450610907139928,0,0,0.0026016926996414386
20,0,0.005999999999999999,0,0,0,0,0,38.177101763622375,7.485134808510783,0,0,-0.12331960096544833
21,0,0.006299999999999999,0,0,0,0,0,28.443285030270545,6.037323816530554,0,0,0.23349976995353572
22,0,0.006599999999999999,0,0,0,0,0,28.39983780175068,6.099066708364447,0,0,-3.26041642371433E-09
23,0,0.006899999999999999,0,0,0,0,0,47.26715292346705,8.99903754259733,0,0,0.02515344075293086
24,0,0.007199999999999999,0,0,0,0,0,33.56642529551621,7.410632563820787,0,0,-0.2012267095777438
25,0,0.007499999999999999,0,0,0,0,0,14.39890615356943,4.209607307632445,0,0,1.4272551443820154
26,0,0.007799999999999999,0,0,0,0,0,35.971653643703405,7.981382526428327,0,0,1.8988324551722537
27,0,0.0081,0,0,0,0,0,12.602885650880753,4.279285580059217,0,0,3.340382135582181
28,0,0.0084,0,0,0,0,0,8.400774486386995,2.551295420751521,0,0,3.6321329032721534
29,0,0.0087,0,0,0,0,0,5.093659700564727,2.0876025369801834,0,0,2.6451195336896887
30,0,0.009,0,0,0,0,0,6.09422092366289,2.2765633338143703,0,0,3.0015921841030972
31,0,0.0093,0,0,0,0,0,1.4596375967792274,1.2477037655853969,0,0,1.561746355223536
32,0,0.0096,0,0,0,0,0,7.320374880133613,2.5097589419783746,0,0,3.4750981726131323
33,0,0.009899999999999999,0,0,0,0,0,1.2612968141513643,1.0669317136890417,0,0,1.3461847296482354
34,0,0.010199999999999999,0,0,0,0,0,9.510983441310994,2.9314625810096335,0,0,4.167010336882188
35,0,0.010499999999999999,0,0,0,0,0,2.572852231445899,1.380040473752107,0,0,1.7155575891288997
36,0,0.010799999999999999,0,0,0,0,0,5.178275686100997,2.0762974246775974,0,0,2.815833559560538
37,0,0.011099999999999999,0,0,0,0,0,2.594753072653679,1.3120713749971251,0,0,1.71139157650756
38,0,0.011399999999999999,0,0,0,0,0,3.4209733973556786,1.4380399638983212,0,0,2.0220371091902885
39,0,0.011699999999999999,0,0,0,0,0,0.6659792348988681,0.5518973926226488,0,0,0.7144572460337492
40,0,0.011999999999999999,0,0,0,0,0,7.343114211298165,2.3645956411603613,0,0,3.4435027585376172
41,0,0.012299999999999998,0,0,0,0,0,1.0248579817490242,0.5533404374120026,0,0,0.7565333161004707
42,0,0.012599999999999998,0,0,0,0,0,4.6480342464746585,1.4841833081930835,0,0,2.2319760755309184
43,0,0.012899999999999998,0,0,0,0,0,2.024625332705078,0.78085259297913,0,0,1.1231678439898747
44,0,0.013199999999999998,0,0,0,0,0,0.18454601826311956,0.14645424169635018,0,0,0.1916132919763598
45,0,0.013499999999999998,0,0,0,0,0,0.751022223241785,0.25186624284168213,0,0,0.39331135415877805
46,0,0.013799999999999998,0,0,0,0,0,0.8243878125141004,0.2611170165759447,0,0,0.41292188580528427
47,0,0.014099999999999998,0,0,0,0,0,0.6449592096064428,0.20435274079332222,0,0,0.32362802942801566
48,0,0.014399999999999998,0,0,0,0,0,0.44927323467397273,0.14239019512830092,0,0,0.2258508277208193
49,0,0.014699999999999998,0,0,0,0,0,0.23565664241786338,0.07471145197708295,0,0,0.11869866049511321
50,0,0.014999999999999998,0,0,0,0,0,3.895583026242164E-12,9.41073272545545E-13,0,0,5.2848674053255394E-12
**
**-----------------------------------------
**
*END
